math score,reading score,writing score,gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_standard,test preparation course_none,is_passed
0.3900235098032764,0.18188957072316,0.3956515353142704,False,True,False,False,False,True,False,False,False,False,True,True,True
0.19207552648237824,1.5341298195396635,1.3706773220419222,False,False,True,False,False,False,False,False,True,False,True,False,True
1.577711409728665,1.9097521108775808,1.7189008173017977,False,True,False,False,False,False,False,True,False,False,True,True,True
-1.2595430178708746,-0.9449773032905928,-1.693689436244983,True,False,False,False,False,False,False,False,False,False,False,True,False
0.6539541542311406,0.6326363203286612,0.4652962343662455,True,False,True,False,False,False,False,False,True,False,True,True,True
0.32404084869631034,1.0082586116665788,0.6742303315221709,False,True,False,False,False,False,False,False,False,False,True,True,True
1.445746087514733,1.9097521108775808,1.6492561182498229,False,True,False,False,False,False,False,False,True,False,True,False,True
-1.721421645619637,-1.9967197190367625,-2.0419129315048585,True,True,False,False,False,False,False,False,True,False,False,True,False
-0.13783777905245198,-0.4191060954175082,-0.0918613580495553,True,False,False,True,False,False,True,False,False,False,False,False,False
-1.853386967833569,-0.7196039284878423,-1.2758212419331325,False,True,False,False,False,False,True,False,False,False,False,True,False
-0.5337337456942483,-1.0675827619988856e-15,0.0474280400543948,True,False,True,False,False,False,False,False,False,False,True,True,False
-1.721421645619637,-1.3205995946285105,-1.7633341352969585,True,False,False,True,False,False,False,False,False,False,True,True,False
-0.07185511794548592,0.8580096951314118,0.3260068362622954,False,True,False,False,False,False,True,False,False,False,True,True,True
0.7859194764450727,0.18188957072316,0.1170727391063699,True,False,False,False,False,False,False,False,True,False,True,False,True
-1.0615950345499765,-1.2454751363609269,-0.7186636495173314,False,False,False,False,False,False,False,True,False,False,True,True,False
0.19207552648237824,0.4072629455259106,0.6742303315221709,False,False,True,False,False,False,False,False,False,True,True,True,True
1.445746087514733,1.45900536127208,1.231387923937972,True,False,True,False,False,False,True,False,False,False,True,True,True
-3.1730401899728897,-2.823088759980181,-2.8080046210765848,False,True,False,False,False,False,False,False,False,True,False,True,False
-1.3255256789778407,-2.071844177304346,-1.5544000381410328,True,False,True,False,False,False,False,True,False,False,False,False,False
-0.7976643901221123,-0.8698528450230093,-0.509729552361406,False,False,True,False,False,False,False,False,False,False,False,True,False
-0.005872456838519888,-0.0434838040795905,-0.3704401542574558,True,False,False,True,False,False,True,False,False,False,True,True,False
-0.07185511794548592,0.4072629455259106,0.1170727391063699,False,True,False,False,False,False,False,False,True,False,False,False,False
-1.4574910011917728,-1.1703506780933437,-1.066887144777207,True,False,False,True,False,False,False,False,True,False,True,True,False
0.19207552648237824,-1.0675827619988856e-15,0.0474280400543948,False,False,True,False,False,False,False,False,False,False,True,True,False
0.5219888320172085,0.1067651124555765,0.8135197296261212,True,False,False,True,False,True,False,False,False,False,False,False,True
0.45600617091024237,-1.0675827619988856e-15,0.2563621372103202,True,False,False,False,False,False,False,True,False,False,False,True,False
0.19207552648237824,-1.1703506780933437,-0.9275977466732568,True,True,False,False,False,False,False,False,True,False,True,True,False
0.060110204268446155,-0.0434838040795905,0.4652962343662455,False,False,True,False,False,True,False,False,False,False,True,True,True
0.2580581875893443,0.0316406541879929,-0.2311507561535056,True,False,True,False,False,False,True,False,False,False,True,True,False
-0.26980310126638407,0.0316406541879929,0.4652962343662455,False,False,False,True,False,False,False,True,False,False,True,True,False
0.19207552648237824,-1.0675827619988856e-15,0.0474280400543948,False,False,False,True,False,False,False,False,False,False,True,True,False
-0.203820440159418,-0.3439816371499246,-0.509729552361406,False,True,False,False,False,False,False,False,True,False,True,True,False
-0.6656990679081803,0.18188957072316,-0.2311507561535056,False,False,False,False,True,False,False,True,False,False,False,True,False
-1.721421645619637,-2.071844177304346,-2.1115576305568338,True,False,False,True,False,False,False,False,True,False,True,True,False
2.0395900374774274,1.3087564447369129,0.9528091277300714,True,False,False,False,True,False,False,False,True,False,True,True,True
0.9838674597659707,0.8580096951314118,0.7438750305741461,True,False,False,False,True,False,False,False,False,False,True,False,True
0.5219888320172085,0.8580096951314118,1.0224538267820464,False,False,False,True,False,False,False,False,False,False,True,True,True
-1.0615950345499765,-0.4191060954175082,-0.6490189504653563,False,False,False,True,False,False,False,False,False,True,False,True,False
0.5879714931241745,1.5341298195396635,1.3706773220419222,False,False,False,True,False,False,False,False,False,False,False,False,True
-0.5997164068012143,-1.0675827619988856e-15,0.0474280400543948,True,True,False,False,False,False,False,False,False,False,False,True,False
-0.7316817290151464,-0.6444794702202588,-0.997242445725232,True,False,True,False,False,False,False,False,False,False,False,True,False
-0.5337337456942483,0.2570140289907435,-0.0222166589975802,False,False,True,False,False,False,False,False,False,False,True,True,False
-0.8636470512290784,-0.8698528450230093,-0.2311507561535056,False,True,False,False,False,False,False,False,False,False,True,True,False
-0.46775108458728215,-0.3439816371499246,-0.1615060571015305,True,True,False,False,False,False,False,False,True,False,False,False,False
-1.0615950345499765,-1.0675827619988856e-15,-0.997242445725232,False,False,False,False,True,False,False,False,False,False,False,True,False
-0.07185511794548592,-1.1703506780933437,-0.7883083485693065,True,True,False,False,False,False,False,False,False,False,True,True,False
-0.7316817290151464,-0.3439816371499246,-0.440084853309431,False,False,False,False,False,False,False,False,False,False,True,False,False
-0.005872456838519888,0.1067651124555765,0.5349409334182207,False,False,True,False,False,False,True,False,False,False,True,True,True
-0.5997164068012143,0.332138487258327,0.5349409334182207,False,False,False,True,False,False,False,False,False,False,False,False,False
1.0498501208729367,1.0833830699341624,0.9528091277300714,True,False,True,False,False,False,True,False,False,False,True,False,True
-0.8636470512290784,-1.09522621982576,-1.4151106400370823,True,False,False,False,True,False,False,False,True,False,True,True,False
0.7199368153381066,-0.0434838040795905,-0.0222166589975802,True,False,False,False,True,False,False,False,False,False,False,False,True
-0.8636470512290784,-1.9215952607691784,-1.8329788343489333,True,False,True,False,False,False,False,False,True,False,True,True,False
1.445746087514733,0.6326363203286612,0.4652962343662455,True,False,False,True,False,False,True,False,False,False,True,True,True
0.32404084869631034,-1.0675827619988856e-15,0.0474280400543948,False,False,True,False,False,False,False,False,False,False,False,False,False
-2.183300273368399,-1.0675827619988856e-15,-1.7633341352969585,False,False,True,False,False,False,True,False,False,False,False,True,False
1.0498501208729367,1.158507528201746,1.231387923937972,False,False,False,False,True,False,False,False,False,False,True,False,True
-0.9296297123360444,-1.09522621982576,-1.3454659409851075,True,False,False,True,False,False,False,False,False,False,True,True,False
-0.5337337456942483,-0.7947283867554258,-0.7186636495173314,True,False,False,True,False,False,False,False,True,False,True,False,False
-4.360728089898279,-1.0675827619988856e-15,0.0474280400543948,False,False,True,False,False,False,False,False,False,False,False,True,False
0.8519021375520386,0.332138487258327,0.2563621372103202,True,False,False,False,True,True,False,False,False,False,False,False,True
-1.787404306726603,-2.2972175521070963,-2.3901364267647343,True,False,False,False,False,False,False,False,False,True,False,True,False
-0.26980310126638407,-0.6444794702202588,-0.9275977466732568,True,False,False,False,False,False,False,False,False,False,False,True,False
0.19207552648237824,-1.0675827619988856e-15,0.1867174381583451,False,False,True,False,False,False,False,False,False,False,True,True,False
-0.46775108458728215,-0.8698528450230093,-0.6490189504653563,False,False,False,True,False,False,False,False,False,True,True,True,False
0.060110204268446155,-0.4191060954175082,-0.509729552361406,True,True,False,False,False,False,False,False,False,True,True,True,False
-1.3915083400848067,-1.0675827619988856e-15,0.0474280400543948,True,False,False,True,False,False,False,False,False,False,False,True,False
-0.4017684234803161,-1.0675827619988856e-15,0.0474280400543948,False,False,True,False,False,False,False,False,False,False,True,True,False
-0.3357857623733501,-0.8698528450230093,-0.8579530476212817,True,True,False,False,False,False,False,False,False,False,False,True,False
-1.787404306726603,-0.4191060954175082,-0.7883083485693065,False,False,True,False,False,False,False,False,False,False,True,True,False
-0.5337337456942483,-1.0675827619988856e-15,0.0474280400543948,False,False,False,True,False,False,False,False,False,False,False,False,False
-0.203820440159418,-1.09522621982576,-0.3704401542574558,True,False,False,True,False,False,False,False,True,False,True,False,False
-1.655438984512671,-1.0675827619988856e-15,-1.4151106400370823,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.3357857623733501,-0.9449773032905928,-0.8579530476212817,True,False,True,False,False,False,False,False,False,True,False,True,False
-1.1275776956569425,-1.5459729694312612,-1.9026235334009085,True,False,True,False,False,False,False,False,False,True,True,True,False
-1.4574910011917728,-2.146968635571929,-2.1115576305568338,True,True,False,False,False,False,False,False,False,False,False,True,False
-2.381248256689297,-1.0675827619988856e-15,0.0474280400543948,True,False,False,False,True,False,False,False,False,False,True,True,False
0.9178847986590046,0.6326363203286612,0.8831644286780963,True,False,False,False,False,True,False,False,False,False,True,False,True
-0.3357857623733501,0.332138487258327,0.2563621372103202,False,False,False,True,False,False,False,False,False,True,True,False,False
